!I	¡	INVERTED EXCLAMATION MARK
Ct	¢	[CURR] CENT SIGN
Db	◆	[SHAPE] BLACK DIAMOND
Dw	◇	[SHAPE] WHITE DIAMOND
LZ	◊	[SHAPE] LOZENGE
0m	○	[SHAPE] WHITE CIRCLE
0o	◎	[SHAPE] BULLSEYE
0M	●	[SHAPE] BLACK CIRCLE
0L	◐	[SHAPE] CIRCLE WITH LEFT HALF BLACK
0R	◑	[SHAPE] CIRCLE WITH RIGHT HALF BLACK
Sn	◘	[SHAPE] INVERSE BULLET
Ic	◙	[SHAPE] INVERSE WHITE CIRCLE
Fd	◢	[SHAPE] BLACK LOWER RIGHT TRIANGLE
Bd	◣	[SHAPE] BLACK LOWER LEFT TRIANGLE

*2	★	[MISC] BLACK STAR
*1	☆	[MISC] WHITE STAR
<H	☜	[MISC] WHITE LEFT POINTING INDEX
>H	☞	[MISC] WHITE RIGHT POINTING INDEX
0u	☺	[MISC] WHITE SMILING FACE
0U	☻	[MISC] BLACK SMILING FACE
SU	☼	[MISC] WHITE SUN WITH RAYS
Fm	♀	[MISC] FEMALE SIGN
Ml	♂	[MISC] MALE SIGN
cS	♠	[MISC] BLACK SPADE SUIT
cH	♡	[MISC] WHITE HEART SUIT
cD	♢	[MISC] WHITE DIAMOND SUIT
cC	♣	[MISC] BLACK CLUB SUIT
Md	♩	[MISC] QUARTER NOTE
M8	♪	[MISC] EIGHTH NOTE
M2	♫	[MISC] BEAMED EIGHTH NOTES
Mb	♭	[MISC] MUSIC FLAT SIGN
Mx	♮	[MISC] MUSIC NATURAL SIGN
MX	♯	[MISC] MUSIC SHARP SIGN

OK	✓	[DING] CHECK MARK
XX	✗	[DING] BALLOT X
-X	✠	[DING] MALTESE CROSS

IS	　	[CJK] IDEOGRAPHIC SPACE
,_	、	[CJK] IDEOGRAPHIC COMMA
._	。	[CJK] IDEOGRAPHIC FULL STOP
+"	〃	[CJK] DITTO MARK
+_	〄	[CJK] JAPANESE INDUSTRIAL STANDARD SYMBOL
*_	々	[CJK] IDEOGRAPHIC ITERATION MARK
;_	〆	[CJK] IDEOGRAPHIC CLOSING MARK
0_	〇	[CJK] IDEOGRAPHIC NUMBER ZERO
<+	《	[CJK] LEFT DOUBLE ANGLE BRACKET
>+	》	[CJK] RIGHT DOUBLE ANGLE BRACKET
<'	「	[CJK] LEFT CORNER BRACKET
>'	」	[CJK] RIGHT CORNER BRACKET
<"	『	[CJK] LEFT WHITE CORNER BRACKET
>"	』	[CJK] RIGHT WHITE CORNER BRACKET
("	【	[CJK] LEFT BLACK LENTICULAR BRACKET
)"	】	[CJK] RIGHT BLACK LENTICULAR BRACKET
=T	〒	[CJK] POSTAL MARK
=_	〓	[CJK] GETA MARK
('	〔	[CJK] LEFT TORTOISE SHELL BRACKET
)'	〕	[CJK] RIGHT TORTOISE SHELL BRACKET
(I	〖	[CJK] LEFT WHITE LENTICULAR BRACKET
)I	〗	[CJK] RIGHT WHITE LENTICULAR BRACKET
-?	〜	[CJK] WAVE DASH

A5	ぁ	HIRAGANA LETTER SMALL A
a5	あ	HIRAGANA LETTER A
I5	ぃ	HIRAGANA LETTER SMALL I
i5	い	HIRAGANA LETTER I
U5	ぅ	HIRAGANA LETTER SMALL U
u5	う	HIRAGANA LETTER U
E5	ぇ	HIRAGANA LETTER SMALL E
e5	え	HIRAGANA LETTER E
O5	ぉ	HIRAGANA LETTER SMALL O
o5	お	HIRAGANA LETTER O
ka	か	HIRAGANA LETTER KA
ga	が	HIRAGANA LETTER GA
ki	き	HIRAGANA LETTER KI
gi	ぎ	HIRAGANA LETTER GI
ku	く	HIRAGANA LETTER KU
gu	ぐ	HIRAGANA LETTER GU
ke	け	HIRAGANA LETTER KE
ge	げ	HIRAGANA LETTER GE
ko	こ	HIRAGANA LETTER KO
go	ご	HIRAGANA LETTER GO
sa	さ	HIRAGANA LETTER SA
za	ざ	HIRAGANA LETTER ZA
si	し	HIRAGANA LETTER SI
zi	じ	HIRAGANA LETTER ZI
su	す	HIRAGANA LETTER SU
zu	ず	HIRAGANA LETTER ZU
se	せ	HIRAGANA LETTER SE
ze	ぜ	HIRAGANA LETTER ZE
so	そ	HIRAGANA LETTER SO
zo	ぞ	HIRAGANA LETTER ZO
ta	た	HIRAGANA LETTER TA
da	だ	HIRAGANA LETTER DA
ti	ち	HIRAGANA LETTER TI
di	ぢ	HIRAGANA LETTER DI
tU	っ	HIRAGANA LETTER SMALL TU
tu	つ	HIRAGANA LETTER TU
du	づ	HIRAGANA LETTER DU
te	て	HIRAGANA LETTER TE
de	で	HIRAGANA LETTER DE
to	と	HIRAGANA LETTER TO
do	ど	HIRAGANA LETTER DO
na	な	HIRAGANA LETTER NA
ni	に	HIRAGANA LETTER NI
nu	ぬ	HIRAGANA LETTER NU
ne	ね	HIRAGANA LETTER NE
no	の	HIRAGANA LETTER NO
ha	は	HIRAGANA LETTER HA
ba	ば	HIRAGANA LETTER BA
pa	ぱ	HIRAGANA LETTER PA
hi	ひ	HIRAGANA LETTER HI
bi	び	HIRAGANA LETTER BI
pi	ぴ	HIRAGANA LETTER PI
hu	ふ	HIRAGANA LETTER HU
bu	ぶ	HIRAGANA LETTER BU
pu	ぷ	HIRAGANA LETTER PU
he	へ	HIRAGANA LETTER HE
be	べ	HIRAGANA LETTER BE
pe	ぺ	HIRAGANA LETTER PE
ho	ほ	HIRAGANA LETTER HO
bo	ぼ	HIRAGANA LETTER BO
po	ぽ	HIRAGANA LETTER PO
ma	ま	HIRAGANA LETTER MA
mi	み	HIRAGANA LETTER MI
mu	む	HIRAGANA LETTER MU
me	め	HIRAGANA LETTER ME
mo	も	HIRAGANA LETTER MO
yA	ゃ	HIRAGANA LETTER SMALL YA
ya	や	HIRAGANA LETTER YA
yU	ゅ	HIRAGANA LETTER SMALL YU
yu	ゆ	HIRAGANA LETTER YU
yO	ょ	HIRAGANA LETTER SMALL YO
yo	よ	HIRAGANA LETTER YO
ra	ら	HIRAGANA LETTER RA
ri	り	HIRAGANA LETTER RI
ru	る	HIRAGANA LETTER RU
re	れ	HIRAGANA LETTER RE
ro	ろ	HIRAGANA LETTER RO
wA	ゎ	HIRAGANA LETTER SMALL WA
wa	わ	HIRAGANA LETTER WA
wi	ゐ	HIRAGANA LETTER WI
we	ゑ	HIRAGANA LETTER WE
wo	を	HIRAGANA LETTER WO
n5	ん	HIRAGANA LETTER N
vu	ゔ	HIRAGANA LETTER VU
"5	゛	KATAKANA-HIRAGANA VOICED SOUND MARK
05	゜	KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
*5	ゝ	HIRAGANA ITERATION MARK
+5	ゞ	HIRAGANA VOICED ITERATION MARK

a6	ァ	KATAKANA LETTER SMALL A
A6	ア	KATAKANA LETTER A
i6	ィ	KATAKANA LETTER SMALL I
I6	イ	KATAKANA LETTER I
u6	ゥ	KATAKANA LETTER SMALL U
U6	ウ	KATAKANA LETTER U
e6	ェ	KATAKANA LETTER SMALL E
E6	エ	KATAKANA LETTER E
o6	ォ	KATAKANA LETTER SMALL O
O6	オ	KATAKANA LETTER O
Ka	カ	KATAKANA LETTER KA
Ga	ガ	KATAKANA LETTER GA
Ki	キ	KATAKANA LETTER KI
Gi	ギ	KATAKANA LETTER GI
Ku	ク	KATAKANA LETTER KU
Gu	グ	KATAKANA LETTER GU
Ke	ケ	KATAKANA LETTER KE
Ge	ゲ	KATAKANA LETTER GE
Ko	コ	KATAKANA LETTER KO
Go	ゴ	KATAKANA LETTER GO
Sa	サ	KATAKANA LETTER SA
Za	ザ	KATAKANA LETTER ZA
Si	シ	KATAKANA LETTER SI
Zi	ジ	KATAKANA LETTER ZI
Su	ス	KATAKANA LETTER SU
Zu	ズ	KATAKANA LETTER ZU
Se	セ	KATAKANA LETTER SE
Ze	ゼ	KATAKANA LETTER ZE
So	ソ	KATAKANA LETTER SO
Zo	ゾ	KATAKANA LETTER ZO
Ta	タ	KATAKANA LETTER TA
Da	ダ	KATAKANA LETTER DA
Ti	チ	KATAKANA LETTER TI
Di	ヂ	KATAKANA LETTER DI
TU	ッ	KATAKANA LETTER SMALL TU
Tu	ツ	KATAKANA LETTER TU
Du	ヅ	KATAKANA LETTER DU
Te	テ	KATAKANA LETTER TE
De	デ	KATAKANA LETTER DE
To	ト	KATAKANA LETTER TO
Do	ド	KATAKANA LETTER DO
Na	ナ	KATAKANA LETTER NA
Ni	ニ	KATAKANA LETTER NI
Nu	ヌ	KATAKANA LETTER NU
Ne	ネ	KATAKANA LETTER NE
No	ノ	KATAKANA LETTER NO
Ha	ハ	KATAKANA LETTER HA
Ba	バ	KATAKANA LETTER BA
Pa	パ	KATAKANA LETTER PA
Hi	ヒ	KATAKANA LETTER HI
Bi	ビ	KATAKANA LETTER BI
Pi	ピ	KATAKANA LETTER PI
Hu	フ	KATAKANA LETTER HU
Bu	ブ	KATAKANA LETTER BU
Pu	プ	KATAKANA LETTER PU
He	ヘ	KATAKANA LETTER HE
Be	ベ	KATAKANA LETTER BE
Pe	ペ	KATAKANA LETTER PE
Ho	ホ	KATAKANA LETTER HO
Bo	ボ	KATAKANA LETTER BO
Po	ポ	KATAKANA LETTER PO
Ma	マ	KATAKANA LETTER MA
Mi	ミ	KATAKANA LETTER MI
Mu	ム	KATAKANA LETTER MU
Me	メ	KATAKANA LETTER ME
Mo	モ	KATAKANA LETTER MO
YA	ャ	KATAKANA LETTER SMALL YA
Ya	ヤ	KATAKANA LETTER YA
YU	ュ	KATAKANA LETTER SMALL YU
Yu	ユ	KATAKANA LETTER YU
YO	ョ	KATAKANA LETTER SMALL YO
Yo	ヨ	KATAKANA LETTER YO
Ra	ラ	KATAKANA LETTER RA
Ri	リ	KATAKANA LETTER RI
Ru	ル	KATAKANA LETTER RU
Re	レ	KATAKANA LETTER RE
Ro	ロ	KATAKANA LETTER RO
WA	ヮ	KATAKANA LETTER SMALL WA
Wa	ワ	KATAKANA LETTER WA
Wi	ヰ	KATAKANA LETTER WI
We	ヱ	KATAKANA LETTER WE
Wo	ヲ	KATAKANA LETTER WO
N6	ン	KATAKANA LETTER N
Vu	ヴ	KATAKANA LETTER VU
KA	ヵ	KATAKANA LETTER SMALL KA
KE	ヶ	KATAKANA LETTER SMALL KE
Va	ヷ	KATAKANA LETTER VA
Vi	ヸ	KATAKANA LETTER VI
Ve	ヹ	KATAKANA LETTER VE
Vo	ヺ	KATAKANA LETTER VO
.6	・	KATAKANA MIDDLE DOT
-6	ー	KATAKANA-HIRAGANA PROLONGED SOUND MARK
*6	ヽ	KATAKANA ITERATION MARK
+6	ヾ	KATAKANA VOICED ITERATION MARK

b4	ㄅ	BOPOMOFO LETTER B
p4	ㄆ	BOPOMOFO LETTER P
m4	ㄇ	BOPOMOFO LETTER M
f4	ㄈ	BOPOMOFO LETTER F
d4	ㄉ	BOPOMOFO LETTER D
t4	ㄊ	BOPOMOFO LETTER T
n4	ㄋ	BOPOMOFO LETTER N
l4	ㄌ	BOPOMOFO LETTER L
g4	ㄍ	BOPOMOFO LETTER G
k4	ㄎ	BOPOMOFO LETTER K
h4	ㄏ	BOPOMOFO LETTER H
j4	ㄐ	BOPOMOFO LETTER J
q4	ㄑ	BOPOMOFO LETTER Q
x4	ㄒ	BOPOMOFO LETTER X
zh	ㄓ	BOPOMOFO LETTER ZH
ch	ㄔ	BOPOMOFO LETTER CH
sh	ㄕ	BOPOMOFO LETTER SH
r4	ㄖ	BOPOMOFO LETTER R
z4	ㄗ	BOPOMOFO LETTER Z
c4	ㄘ	BOPOMOFO LETTER C
s4	ㄙ	BOPOMOFO LETTER S
a4	ㄚ	BOPOMOFO LETTER A
o4	ㄛ	BOPOMOFO LETTER O
e4	ㄜ	BOPOMOFO LETTER E
ai	ㄞ	BOPOMOFO LETTER AI
ei	ㄟ	BOPOMOFO LETTER EI
au	ㄠ	BOPOMOFO LETTER AU
ou	ㄡ	BOPOMOFO LETTER OU
an	ㄢ	BOPOMOFO LETTER AN
en	ㄣ	BOPOMOFO LETTER EN
aN	ㄤ	BOPOMOFO LETTER ANG
eN	ㄥ	BOPOMOFO LETTER ENG
er	ㄦ	BOPOMOFO LETTER ER
i4	ㄧ	BOPOMOFO LETTER I
u4	ㄨ	BOPOMOFO LETTER U
iu	ㄩ	BOPOMOFO LETTER IU
v4	ㄪ	BOPOMOFO LETTER V
nG	ㄫ	BOPOMOFO LETTER NG
gn	ㄬ	BOPOMOFO LETTER GN

1c	㈠	PARENTHESIZED IDEOGRAPH ONE
2c	㈡	PARENTHESIZED IDEOGRAPH TWO
3c	㈢	PARENTHESIZED IDEOGRAPH THREE
4c	㈣	PARENTHESIZED IDEOGRAPH FOUR
5c	㈤	PARENTHESIZED IDEOGRAPH FIVE
6c	㈥	PARENTHESIZED IDEOGRAPH SIX
7c	㈦	PARENTHESIZED IDEOGRAPH SEVEN
8c	㈧	PARENTHESIZED IDEOGRAPH EIGHT
9c	㈨	PARENTHESIZED IDEOGRAPH NINE

ff	ﬀ	LATIN SMALL LIGATURE FF
fi	ﬁ	LATIN SMALL LIGATURE FI
fl	ﬂ	LATIN SMALL LIGATURE FL
ft	ﬅ	LATIN SMALL LIGATURE LONG S T
st	ﬆ	LATIN SMALL LIGATURE ST

