!I	¡	INVERTED EXCLAMATION MARK
Ct	¢	[CURR] CENT SIGN
T/	Ŧ	LATIN CAPITAL LETTER T WITH STROKE
t/	ŧ	LATIN SMALL LETTER T WITH STROKE
U?	Ũ	LATIN CAPITAL LETTER U WITH TILDE
u?	ũ	LATIN SMALL LETTER U WITH TILDE
U-	Ū	LATIN CAPITAL LETTER U WITH MACRON
u-	ū	LATIN SMALL LETTER U WITH MACRON
U(	Ŭ	LATIN CAPITAL LETTER U WITH BREVE
u(	ŭ	LATIN SMALL LETTER U WITH BREVE
U0	Ů	LATIN CAPITAL LETTER U WITH RING ABOVE
u0	ů	LATIN SMALL LETTER U WITH RING ABOVE
U"	Ű	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
u"	ű	LATIN SMALL LETTER U WITH DOUBLE ACUTE
U;	Ų	LATIN CAPITAL LETTER U WITH OGONEK
u;	ų	LATIN SMALL LETTER U WITH OGONEK
W>	Ŵ	LATIN CAPITAL LETTER W WITH CIRCUMFLEX
w>	ŵ	LATIN SMALL LETTER W WITH CIRCUMFLEX
Y>	Ŷ	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
y>	ŷ	LATIN SMALL LETTER Y WITH CIRCUMFLEX
Y:	Ÿ	LATIN CAPITAL LETTER Y WITH DIAERESIS
Z'	Ź	LATIN CAPITAL LETTER Z WITH ACUTE
z'	ź	LATIN SMALL LETTER Z WITH ACUTE
Z.	Ż	LATIN CAPITAL LETTER Z WITH DOT ABOVE
z.	ż	LATIN SMALL LETTER Z WITH DOT ABOVE
Z<	Ž	LATIN CAPITAL LETTER Z WITH CARON
z<	ž	LATIN SMALL LETTER Z WITH CARON
O9	Ơ	LATIN CAPITAL LETTER O WITH HORN
o9	ơ	LATIN SMALL LETTER O WITH HORN
OI	Ƣ	LATIN CAPITAL LETTER OI
oi	ƣ	LATIN SMALL LETTER OI
yr	Ʀ	LATIN LETTER YR
U9	Ư	LATIN CAPITAL LETTER U WITH HORN
u9	ư	LATIN SMALL LETTER U WITH HORN
Z/	Ƶ	LATIN CAPITAL LETTER Z WITH STROKE
z/	ƶ	LATIN SMALL LETTER Z WITH STROKE
ED	Ʒ	LATIN CAPITAL LETTER EZH
A<	Ǎ	LATIN CAPITAL LETTER A WITH CARON
a<	ǎ	LATIN SMALL LETTER A WITH CARON
I<	Ǐ	LATIN CAPITAL LETTER I WITH CARON
i<	ǐ	LATIN SMALL LETTER I WITH CARON
O<	Ǒ	LATIN CAPITAL LETTER O WITH CARON
o<	ǒ	LATIN SMALL LETTER O WITH CARON
U<	Ǔ	LATIN CAPITAL LETTER U WITH CARON
u<	ǔ	LATIN SMALL LETTER U WITH CARON
A1	Ǟ	LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
a1	ǟ	LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
A7	Ǡ	LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
a7	ǡ	LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
A3	Ǣ	LATIN CAPITAL LETTER AE WITH MACRON
a3	ǣ	LATIN SMALL LETTER AE WITH MACRON
G/	Ǥ	LATIN CAPITAL LETTER G WITH STROKE
g/	ǥ	LATIN SMALL LETTER G WITH STROKE
G<	Ǧ	LATIN CAPITAL LETTER G WITH CARON
g<	ǧ	LATIN SMALL LETTER G WITH CARON
K<	Ǩ	LATIN CAPITAL LETTER K WITH CARON
k<	ǩ	LATIN SMALL LETTER K WITH CARON
O;	Ǫ	LATIN CAPITAL LETTER O WITH OGONEK
o;	ǫ	LATIN SMALL LETTER O WITH OGONEK
O1	Ǭ	LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
o1	ǭ	LATIN SMALL LETTER O WITH OGONEK AND MACRON
EZ	Ǯ	LATIN CAPITAL LETTER EZH WITH CARON
ez	ǯ	LATIN SMALL LETTER EZH WITH CARON
j<	ǰ	LATIN SMALL LETTER J WITH CARON
G'	Ǵ	LATIN CAPITAL LETTER G WITH ACUTE
g'	ǵ	LATIN SMALL LETTER G WITH ACUTE

;S	ʿ	MODIFIER LETTER LEFT HALF RING

A%	Ά	GREEK CAPITAL LETTER ALPHA WITH TONOS
E%	Έ	GREEK CAPITAL LETTER EPSILON WITH TONOS
Y%	Ή	GREEK CAPITAL LETTER ETA WITH TONOS
I%	Ί	GREEK CAPITAL LETTER IOTA WITH TONOS
O%	Ό	GREEK CAPITAL LETTER OMICRON WITH TONOS
U%	Ύ	GREEK CAPITAL LETTER UPSILON WITH TONOS
W%	Ώ	GREEK CAPITAL LETTER OMEGA WITH TONOS
i3	ΐ	GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
A*	Α	GREEK CAPITAL LETTER ALPHA
B*	Β	GREEK CAPITAL LETTER BETA
G*	Γ	GREEK CAPITAL LETTER GAMMA
D*	Δ	GREEK CAPITAL LETTER DELTA
E*	Ε	GREEK CAPITAL LETTER EPSILON
Z*	Ζ	GREEK CAPITAL LETTER ZETA
Y*	Η	GREEK CAPITAL LETTER ETA
H*	Θ	GREEK CAPITAL LETTER THETA
I*	Ι	GREEK CAPITAL LETTER IOTA
K*	Κ	GREEK CAPITAL LETTER KAPPA
L*	Λ	GREEK CAPITAL LETTER LAMDA
M*	Μ	GREEK CAPITAL LETTER MU
N*	Ν	GREEK CAPITAL LETTER NU
C*	Ξ	GREEK CAPITAL LETTER XI
O*	Ο	GREEK CAPITAL LETTER OMICRON
P*	Π	GREEK CAPITAL LETTER PI
R*	Ρ	GREEK CAPITAL LETTER RHO
S*	Σ	GREEK CAPITAL LETTER SIGMA
T*	Τ	GREEK CAPITAL LETTER TAU
U*	Υ	GREEK CAPITAL LETTER UPSILON
F*	Φ	GREEK CAPITAL LETTER PHI
X*	Χ	GREEK CAPITAL LETTER CHI
Q*	Ψ	GREEK CAPITAL LETTER PSI
W*	Ω	GREEK CAPITAL LETTER OMEGA
J*	Ϊ	GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
V*	Ϋ	GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
a%	ά	GREEK SMALL LETTER ALPHA WITH TONOS
e%	έ	GREEK SMALL LETTER EPSILON WITH TONOS
y%	ή	GREEK SMALL LETTER ETA WITH TONOS
i%	ί	GREEK SMALL LETTER IOTA WITH TONOS
u3	ΰ	GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
a*	α	GREEK SMALL LETTER ALPHA
b*	β	GREEK SMALL LETTER BETA
g*	γ	GREEK SMALL LETTER GAMMA
d*	δ	GREEK SMALL LETTER DELTA
e*	ε	GREEK SMALL LETTER EPSILON
z*	ζ	GREEK SMALL LETTER ZETA
y*	η	GREEK SMALL LETTER ETA
h*	θ	GREEK SMALL LETTER THETA
i*	ι	GREEK SMALL LETTER IOTA
k*	κ	GREEK SMALL LETTER KAPPA
l*	λ	GREEK SMALL LETTER LAMDA
m*	μ	GREEK SMALL LETTER MU
n*	ν	GREEK SMALL LETTER NU
c*	ξ	GREEK SMALL LETTER XI
o*	ο	GREEK SMALL LETTER OMICRON
p*	π	GREEK SMALL LETTER PI
r*	ρ	GREEK SMALL LETTER RHO
*s	ς	GREEK SMALL LETTER FINAL SIGMA
s*	σ	GREEK SMALL LETTER SIGMA
t*	τ	GREEK SMALL LETTER TAU
u*	υ	GREEK SMALL LETTER UPSILON
f*	φ	GREEK SMALL LETTER PHI
x*	χ	GREEK SMALL LETTER CHI
q*	ψ	GREEK SMALL LETTER PSI
w*	ω	GREEK SMALL LETTER OMEGA
j*	ϊ	GREEK SMALL LETTER IOTA WITH DIALYTIKA
v*	ϋ	GREEK SMALL LETTER UPSILON WITH DIALYTIKA
o%	ό	GREEK SMALL LETTER OMICRON WITH TONOS
u%	ύ	GREEK SMALL LETTER UPSILON WITH TONOS
w%	ώ	GREEK SMALL LETTER OMEGA WITH TONOS
'G	Ϙ	GREEK LETTER ARCHAIC KOPPA
,G	ϙ	GREEK SMALL LETTER ARCHAIC KOPPA
T3	Ϛ	GREEK LETTER STIGMA
t3	ϛ	GREEK SMALL LETTER STIGMA
M3	Ϝ	GREEK LETTER DIGAMMA
m3	ϝ	GREEK SMALL LETTER DIGAMMA
K3	Ϟ	GREEK LETTER KOPPA
k3	ϟ	GREEK SMALL LETTER KOPPA
P3	Ϡ	GREEK LETTER SAMPI
p3	ϡ	GREEK SMALL LETTER SAMPI
'%	ϴ	GREEK CAPITAL THETA SYMBOL
j3	ϵ	GREEK LUNATE EPSILON SYMBOL

IO	Ё	CYRILLIC CAPITAL LETTER IO
D%	Ђ	CYRILLIC CAPITAL LETTER DJE
G%	Ѓ	CYRILLIC CAPITAL LETTER GJE
IE	Є	CYRILLIC CAPITAL LETTER UKRAINIAN IE
DS	Ѕ	CYRILLIC CAPITAL LETTER DZE
II	І	CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
YI	Ї	CYRILLIC CAPITAL LETTER YI
J%	Ј	CYRILLIC CAPITAL LETTER JE
LJ	Љ	CYRILLIC CAPITAL LETTER LJE
NJ	Њ	CYRILLIC CAPITAL LETTER NJE
Ts	Ћ	CYRILLIC CAPITAL LETTER TSHE
KJ	Ќ	CYRILLIC CAPITAL LETTER KJE
V%	Ў	CYRILLIC CAPITAL LETTER SHORT U
DZ	Џ	CYRILLIC CAPITAL LETTER DZHE
A=	А	CYRILLIC CAPITAL LETTER A
B=	Б	CYRILLIC CAPITAL LETTER BE
V=	В	CYRILLIC CAPITAL LETTER VE
G=	Г	CYRILLIC CAPITAL LETTER GHE
D=	Д	CYRILLIC CAPITAL LETTER DE
E=	Е	CYRILLIC CAPITAL LETTER IE
Z%	Ж	CYRILLIC CAPITAL LETTER ZHE
Z=	З	CYRILLIC CAPITAL LETTER ZE
I=	И	CYRILLIC CAPITAL LETTER I
J=	Й	CYRILLIC CAPITAL LETTER SHORT I
K=	К	CYRILLIC CAPITAL LETTER KA
L=	Л	CYRILLIC CAPITAL LETTER EL
M=	М	CYRILLIC CAPITAL LETTER EM
N=	Н	CYRILLIC CAPITAL LETTER EN
O=	О	CYRILLIC CAPITAL LETTER O
P=	П	CYRILLIC CAPITAL LETTER PE
R=	Р	CYRILLIC CAPITAL LETTER ER
S=	С	CYRILLIC CAPITAL LETTER ES
T=	Т	CYRILLIC CAPITAL LETTER TE
U=	У	CYRILLIC CAPITAL LETTER U
F=	Ф	CYRILLIC CAPITAL LETTER EF
H=	Х	CYRILLIC CAPITAL LETTER HA
C=	Ц	CYRILLIC CAPITAL LETTER TSE
C%	Ч	CYRILLIC CAPITAL LETTER CHE
S%	Ш	CYRILLIC CAPITAL LETTER SHA
Sc	Щ	CYRILLIC CAPITAL LETTER SHCHA
="	Ъ	CYRILLIC CAPITAL LETTER HARD SIGN
Y=	Ы	CYRILLIC CAPITAL LETTER YERU
%"	Ь	CYRILLIC CAPITAL LETTER SOFT SIGN
JE	Э	CYRILLIC CAPITAL LETTER E
JU	Ю	CYRILLIC CAPITAL LETTER YU
JA	Я	CYRILLIC CAPITAL LETTER YA
a=	а	CYRILLIC SMALL LETTER A
b=	б	CYRILLIC SMALL LETTER BE
v=	в	CYRILLIC SMALL LETTER VE
g=	г	CYRILLIC SMALL LETTER GHE
d=	д	CYRILLIC SMALL LETTER DE
e=	е	CYRILLIC SMALL LETTER IE
z%	ж	CYRILLIC SMALL LETTER ZHE
z=	з	CYRILLIC SMALL LETTER ZE
i=	и	CYRILLIC SMALL LETTER I
j=	й	CYRILLIC SMALL LETTER SHORT I
k=	к	CYRILLIC SMALL LETTER KA
l=	л	CYRILLIC SMALL LETTER EL
m=	м	CYRILLIC SMALL LETTER EM
n=	н	CYRILLIC SMALL LETTER EN
o=	о	CYRILLIC SMALL LETTER O
p=	п	CYRILLIC SMALL LETTER PE
r=	р	CYRILLIC SMALL LETTER ER
s=	с	CYRILLIC SMALL LETTER ES
t=	т	CYRILLIC SMALL LETTER TE
u=	у	CYRILLIC SMALL LETTER U
f=	ф	CYRILLIC SMALL LETTER EF
h=	х	CYRILLIC SMALL LETTER HA
c=	ц	CYRILLIC SMALL LETTER TSE
c%	ч	CYRILLIC SMALL LETTER CHE
s%	ш	CYRILLIC SMALL LETTER SHA
sc	щ	CYRILLIC SMALL LETTER SHCHA
='	ъ	CYRILLIC SMALL LETTER HARD SIGN
y=	ы	CYRILLIC SMALL LETTER YERU
%'	ь	CYRILLIC SMALL LETTER SOFT SIGN
je	э	CYRILLIC SMALL LETTER E
ju	ю	CYRILLIC SMALL LETTER YU
ja	я	CYRILLIC SMALL LETTER YA
io	ё	CYRILLIC SMALL LETTER IO
d%	ђ	CYRILLIC SMALL LETTER DJE
g%	ѓ	CYRILLIC SMALL LETTER GJE
ie	є	CYRILLIC SMALL LETTER UKRAINIAN IE
ds	ѕ	CYRILLIC SMALL LETTER DZE
ii	і	CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
yi	ї	CYRILLIC SMALL LETTER YI
j%	ј	CYRILLIC SMALL LETTER JE
lj	љ	CYRILLIC SMALL LETTER LJE
nj	њ	CYRILLIC SMALL LETTER NJE
ts	ћ	CYRILLIC SMALL LETTER TSHE
kj	ќ	CYRILLIC SMALL LETTER KJE
v%	ў	CYRILLIC SMALL LETTER SHORT U
dz	џ	CYRILLIC SMALL LETTER DZHE
Y3	Ѣ	CYRILLIC CAPITAL LETTER YAT
y3	ѣ	CYRILLIC SMALL LETTER YAT
O3	Ѫ	CYRILLIC CAPITAL LETTER BIG YUS
o3	ѫ	CYRILLIC SMALL LETTER BIG YUS
F3	Ѳ	CYRILLIC CAPITAL LETTER FITA
f3	ѳ	CYRILLIC SMALL LETTER FITA
V3	Ѵ	CYRILLIC CAPITAL LETTER IZHITSA
v3	ѵ	CYRILLIC SMALL LETTER IZHITSA
C3	Ҁ	CYRILLIC CAPITAL LETTER KOPPA
c3	ҁ	CYRILLIC SMALL LETTER KOPPA
G3	Ґ	CYRILLIC CAPITAL LETTER GHE WITH UPTURN
g3	ґ	CYRILLIC SMALL LETTER GHE WITH UPTURN

A+	א	HEBREW LETTER ALEF
B+	ב	HEBREW LETTER BET
G+	ג	HEBREW LETTER GIMEL
D+	ד	HEBREW LETTER DALET
H+	ה	HEBREW LETTER HE
W+	ו	HEBREW LETTER VAV
Z+	ז	HEBREW LETTER ZAYIN
X+	ח	HEBREW LETTER HET
Tj	ט	HEBREW LETTER TET
J+	י	HEBREW LETTER YOD
K%	ך	HEBREW LETTER FINAL KAF
K+	כ	HEBREW LETTER KAF
L+	ל	HEBREW LETTER LAMED
M%	ם	HEBREW LETTER FINAL MEM
M+	מ	HEBREW LETTER MEM
N%	ן	HEBREW LETTER FINAL NUN
N+	נ	HEBREW LETTER NUN
S+	ס	HEBREW LETTER SAMEKH
E+	ע	HEBREW LETTER AYIN
P%	ף	HEBREW LETTER FINAL PE
P+	פ	HEBREW LETTER PE
Zj	ץ	HEBREW LETTER FINAL TSADI
ZJ	צ	HEBREW LETTER TSADI
Q+	ק	HEBREW LETTER QOF
R+	ר	HEBREW LETTER RESH
Sh	ש	HEBREW LETTER SHIN
T+	ת	HEBREW LETTER TAV

,+	،	ARABIC COMMA
;+	؛	ARABIC SEMICOLON
?+	؟	ARABIC QUESTION MARK
H'	ء	ARABIC LETTER HAMZA
aM	آ	ARABIC LETTER ALEF WITH MADDA ABOVE
aH	أ	ARABIC LETTER ALEF WITH HAMZA ABOVE
wH	ؤ	ARABIC LETTER WAW WITH HAMZA ABOVE
ah	إ	ARABIC LETTER ALEF WITH HAMZA BELOW
yH	ئ	ARABIC LETTER YEH WITH HAMZA ABOVE
a+	ا	ARABIC LETTER ALEF
b+	ب	ARABIC LETTER BEH
tm	ة	ARABIC LETTER TEH MARBUTA
t+	ت	ARABIC LETTER TEH
tk	ث	ARABIC LETTER THEH
g+	ج	ARABIC LETTER JEEM
hk	ح	ARABIC LETTER HAH
x+	خ	ARABIC LETTER KHAH
d+	د	ARABIC LETTER DAL
dk	ذ	ARABIC LETTER THAL
r+	ر	ARABIC LETTER REH
z+	ز	ARABIC LETTER ZAIN
s+	س	ARABIC LETTER SEEN
sn	ش	ARABIC LETTER SHEEN
c+	ص	ARABIC LETTER SAD
dd	ض	ARABIC LETTER DAD
tj	ط	ARABIC LETTER TAH
zH	ظ	ARABIC LETTER ZAH
e+	ع	ARABIC LETTER AIN
i+	غ	ARABIC LETTER GHAIN
++	ـ	ARABIC TATWEEL
f+	ف	ARABIC LETTER FEH
q+	ق	ARABIC LETTER QAF
k+	ك	ARABIC LETTER KAF
l+	ل	ARABIC LETTER LAM
m+	م	ARABIC LETTER MEEM
